วันที่,จำนวนคนตาย,จำนวนคนบาดเจ็บ,,,,,,,,,,,,,,,,,
2016-01-01,81,2537,,,,,,,,,,,,,,,,,
2016-01-02,47,2002,,,,,,,,,,,,,,,,,
2016-01-03,46,1757,,,,,,,,,,,,,,,,,
2016-01-04,58,2161,,,,,,,,,,,,,,,,,
2016-01-05,41,1805,,,,,,,,,,,,,,,,,
2016-01-06,13,1821,,,,,,,,,,,,,,,,,
2016-01-07,25,1978,,,,,,,,,,,,,,,,,
2016-01-08,30,1976,,,,,,,,,,,,,,,,,
2016-01-09,19,1734,,,,,,,,,,,,,,,,,
2016-01-10,19,1639,,,,,,,,,,,,,,,,,
2016-01-11,48,2766,,,,,,,,,,,,,,,,,
2016-01-12,39,2152,,,,,,,,,,,,,,,,,
2016-01-13,20,2003,,,,,,,,,,,,,,,,,
2016-01-14,36,2216,,,,,,,,,,,,,,,,,
2016-01-15,20,2358,,,,,,,,,,,,,,,,,
2016-01-16,25,1584,,,,,,,,,,,,,,,,,
2016-01-17,20,1614,,,,,,,,,,,,,,,,,
2016-01-18,39,2648,,,,,,,,,,,,,,,,,
2016-01-19,22,2095,,,,,,,,,,,,,,,,,
2016-01-20,33,2093,,,,,,,,,,,,,,,,,
2016-01-21,36,2243,,,,,,,,,,,,,,,,,
2016-01-22,44,2286,,,,,,,,,,,,,,,,,
2016-01-23,28,1605,,,,,,,,,,,,,,,,,
2016-01-24,35,1460,,,,,,,,,,,,,,,,,
2016-01-25,34,2434,,,,,,,,,,,,,,,,,
2016-01-26,30,1908,,,,,,,,,,,,,,,,,
2016-01-27,37,1818,,,,,,,,,,,,,,,,,
2016-01-28,36,1799,,,,,,,,,,,,,,,,,
2016-01-29,26,1961,,,,,,,,,,,,,,,,,
2016-01-30,20,1679,,,,,,,,,,,,,,,,,
2016-01-31,25,1973,,,,,,,,,,,,,,,,,
2016-02-01,51,2800,,,,,,,,,,,,,,,,,
2016-02-02,38,2255,,,,,,,,,,,,,,,,,
2016-02-03,25,2173,,,,,,,,,,,,,,,,,
2016-02-04,34,2237,,,,,,,,,,,,,,,,,
2016-02-05,34,2365,,,,,,,,,,,,,,,,,
